STATE,RESTORATION_FY,COUNT
Alabama,2020,3
Alabama,2021,6
Alabama,2023,1
Alabama,1998,2
Alabama,1999,3
Alabama,2001,2
Alabama,2002,2
Alabama,2004,4
Alabama,2005,2
Alabama,2007,3
Alabama,2008,2
Alabama,2010,5
Alabama,2011,9
Alabama,2012,30
Alabama,2013,18
Alabama,2014,20
Alabama,2015,10
Alabama,2016,25
Alabama,2017,18
Alabama,2018,17
Alabama,2019,14
Alabama,2020,4
Alabama,2021,2
Alabama,2022,1
Alaska,2012,1
Arizona,2003,1
Arizona,2005,1
Arizona,2010,1
Arkansas,2016,12
Arkansas,2017,11
Arkansas,2018,20
Arkansas,2019,21
Arkansas,2020,20
Arkansas,2021,4
Arkansas,2022,17
Arkansas,2006,2
Arkansas,2013,2
Arkansas,2014,3
Arkansas,2016,1
Arkansas,2012,2
Arkansas,1996,5
Arkansas,1997,16
Arkansas,1998,45
Arkansas,1999,44
Arkansas,2000,24
Arkansas,2001,19
Arkansas,2002,23
Arkansas,2003,18
Arkansas,2004,34
Arkansas,2005,27
Arkansas,2006,74
Arkansas,2007,46
Arkansas,2008,37
Arkansas,2009,10
Arkansas,2010,13
Arkansas,2011,7
Arkansas,2012,11
Arkansas,2013,23
Arkansas,2014,38
Arkansas,2015,36
Arkansas,2016,26
Arkansas,2017,7
Arkansas,2018,5
California,2016,2
California,2018,3
California,2019,2
California,2020,6
California,2021,1
California,2022,3
California,2023,1
California,2007,1
California,2008,1
California,2011,1
California,2013,1
California,2014,1
California,2015,1
California,2016,1
California,2012,2
California,2013,1
California,2015,1
California,2016,7
California,2022,1
California,1994,4
California,1995,3
California,1996,4
California,1997,6
California,1998,9
California,1999,12
California,2000,18
California,2001,14
California,2002,11
California,2003,18
California,2004,5
California,2005,11
California,2006,20
California,2007,16
California,2008,17
California,2009,20
California,2010,12
California,2011,22
California,2012,15
California,2013,11
California,2014,20
California,2015,7
California,2016,16
California,2017,7
California,2018,7
California,2019,12
California,2020,6
California,2021,3
California,2022,3
Colorado,2005,2
Colorado,2006,2
Colorado,2007,2
Colorado,2010,1
Colorado,2011,2
Colorado,2012,2
Colorado,2013,1
Colorado,2014,1
Colorado,2016,1
Colorado,2017,3
Colorado,2018,3
Colorado,2000,1
Colorado,2001,1
Colorado,2002,1
Colorado,2003,3
Colorado,2004,6
Colorado,2005,2
Colorado,2006,8
Colorado,2007,9
Colorado,2008,20
Colorado,2009,20
Colorado,2010,12
Colorado,2011,4
Colorado,2012,3
Colorado,2013,2
Colorado,2014,1
Colorado,2015,2
Colorado,2017,2
Colorado,2018,4
Colorado,2019,1
Connecticut,2008,2
Connecticut,2009,1
Connecticut,2011,1
Connecticut,2012,2
Connecticut,2013,1
Connecticut,1998,1
Connecticut,2001,1
Connecticut,2005,1
Connecticut,2006,1
Connecticut,2010,7
Connecticut,2012,1
Connecticut,2013,1
Connecticut,2014,1
Delaware,2017,1
Delaware,2019,1
Delaware,2021,2
Delaware,2022,1
Delaware,2007,1
Delaware,2008,2
Delaware,1998,3
Delaware,2002,1
Delaware,2005,1
Delaware,2008,4
Delaware,2009,7
Delaware,2010,4
Delaware,2011,8
Delaware,2012,5
Delaware,2013,1
Delaware,2014,2
Delaware,2015,2
Delaware,2016,1
Delaware,2017,2
Delaware,2018,1
Florida,2019,2
Florida,2020,4
Florida,2021,21
Florida,2022,3
Florida,2000,1
Florida,2001,1
Florida,2002,1
Florida,2004,17
Florida,2005,2
Florida,2007,1
Florida,2008,8
Florida,2009,1
Florida,2010,1
Florida,2011,5
Florida,2012,13
Florida,2013,9
Florida,2014,6
Florida,2015,12
Florida,2016,1
Florida,2017,8
Florida,2018,15
Florida,2019,10
Florida,2020,5
Florida,2021,2
Florida,2022,3
Georgia,2017,1
Georgia,2018,3
Georgia,2019,3
Georgia,2020,1
Georgia,2021,2
Georgia,2022,8
Georgia,2023,2
Georgia,2011,2
Georgia,2012,4
Georgia,2015,2
Georgia,2016,3
Georgia,2019,2
Georgia,2020,1
Georgia,1997,1
Georgia,1998,1
Georgia,2000,1
Georgia,2003,1
Georgia,2004,1
Georgia,2005,7
Georgia,2006,1
Georgia,2007,4
Georgia,2008,9
Georgia,2009,7
Georgia,2010,7
Georgia,2011,5
Georgia,2012,3
Georgia,2013,11
Georgia,2014,6
Georgia,2015,18
Georgia,2016,12
Georgia,2017,4
Georgia,2018,13
Georgia,2020,1
Hawaii,2001,1
Hawaii,2002,2
Hawaii,2005,1
Hawaii,2008,1
Hawaii,2010,2
Idaho,2018,1
Idaho,2021,1
Idaho,2005,3
Idaho,2006,2
Idaho,2007,3
Idaho,2010,1
Idaho,2011,1
Idaho,2012,4
Idaho,2013,9
Idaho,2014,12
Idaho,2015,6
Idaho,2016,1
Idaho,2017,1
Idaho,2000,3
Idaho,2001,2
Idaho,2002,6
Idaho,2003,5
Idaho,2004,3
Idaho,2005,6
Idaho,2006,5
Idaho,2007,5
Idaho,2008,5
Idaho,2009,3
Idaho,2010,2
Idaho,2011,1
Idaho,2012,1
Idaho,2013,2
Idaho,2014,5
Idaho,2015,2
Idaho,2016,6
Idaho,2018,1
Idaho,2020,2
Illinois,2017,2
Illinois,2018,2
Illinois,2020,4
Illinois,2021,5
Illinois,2022,10
Illinois,2023,3
Illinois,1996,1
Illinois,1997,10
Illinois,1998,3
Illinois,1999,18
Illinois,2000,4
Illinois,2001,2
Illinois,2003,1
Illinois,2004,2
Illinois,2007,2
Illinois,2008,1
Illinois,2011,1
Illinois,2012,2
Illinois,2013,2
Illinois,2014,1
Illinois,1996,15
Illinois,1997,15
Illinois,1998,11
Illinois,1999,20
Illinois,2000,18
Illinois,2001,23
Illinois,2002,13
Illinois,2003,17
Illinois,2004,24
Illinois,2005,15
Illinois,2006,39
Illinois,2007,14
Illinois,2008,9
Illinois,2009,3
Illinois,2010,19
Illinois,2011,9
Illinois,2012,12
Illinois,2013,10
Illinois,2014,9
Illinois,2015,2
Illinois,2016,19
Illinois,2017,5
Illinois,2018,6
Indiana,2016,2
Indiana,2017,4
Indiana,2018,15
