Stname,Acres,Practice_Count
Alabama,10583554,464330
Alaska,11640021,13777
Arizona,42393622,66443
Arkansas,13782268,429764
California,36770990,304197
Caribbean,503906,76357
Colorado,36260505,335251
Connecticut,332722,33456
Delaware,1577969,130193
Florida,8784933,154716
Georgia,9107931,458258
Hawaii,1877950,34893
Idaho,10106173,172015
Illinois,11003417,592360
Indiana,10750728,629773
Iowa,22051235,1273381
Kansas,27792513,627401
Kentucky,4956020,449161
Louisiana,9924507,462923
Maine,2421137,62503
Maryland,2407299,304391
Massachusetts,500275,71568
Michigan,5788999,312475
Minnesota,22475920,628084
Mississippi,14079539,963837
Missouri,17285213,992367
Montana,40052557,328910
Nebraska,35378246,592008
Nevada,7479041,24599
New Hampshire,1369099,36446
New Jersey,684002,59951
New Mexico,85514519,224367
New York,3440872,272788
North Carolina,5546556,483063
North Dakota,32820227,629416
Ohio,8296121,675135
Oklahoma,27326981,353041
Oregon,18192410,169637
Pennsylvania,4786843,384129
Rhode Island,223986,10372
South Carolina,4458812,207918
South Dakota,36172155,445864
Tennessee,7317751,577846
Texas,175021106,1238385
Utah,14929010,83022
Vermont,1475502,96417
Virginia,4851230,525961
Washington,11007451,221068
West Virginia,2704140,155083
Wisconsin,10347469,825300
Wyoming,27393841,70699
