Grassland Reserve Program (GRP)  Report 

Financial Information

This program does not include Reimbursable funds.

GRP Total Obligations by Fiscal Year
In thousands of dollars

Division, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022,
Alabama ,           38.5,           65.9,           76.4,           98.4,           49.8,            1.0,           34.3,           24.2,            3.4,            1.0, ,,,,
Alaska ,            9.7,           22.2,            8.1,            7.0,           33.1,            1.3,            4.5,            1.7,            2.7,            2.9, ,,,,
Arizona ,           54.0,           84.5,           55.9,           49.5,           19.5,            1.8,           20.9,           27.8,           24.4,           25.2,            0.1, ,,,
Arkansas ,            8.1,           67.8,           64.9,          111.3,           62.4,            0.8,           18.0,            2.8,            4.7,            4.4, ,,,,
California ,          136.6,          147.3,          154.0,          286.2,           95.0,           20.6,           21.6,            7.2,           15.0,           17.8, ,,,,
Caribbean ,           11.4,           12.6, ,,,           0.1,            0.1,            0.1, ,,,,,,
Colorado ,          109.6,          144.6,          167.9,           88.4,           85.5,          183.7,           47.8,           45.6,           65.0,           23.6,            0.2, ,,,
Connecticut ,           21.7,          829.3,          147.6,          118.4,           45.4,            7.4,           17.3,            6.1,            5.7,            3.3, ,,,,
Delaware ,            4.2,            0.1,           12.4,           12.2,           17.6,            0.1,            2.1, ,,,,,,,
Florida ,          144.6,          330.0,          537.1,          121.8,          110.5,            3.9,            0.5,            2.9, ,,,,,,
Georgia ,           23.2,           36.5,           68.7,            0.8,            4.2,            0.3,            0.4,            0.1, ,           6.2,           -4.3, ,,,
Hawaii/Pacific ,            6.8,          109.1,          117.5,          177.5,          113.2,            7.6,           12.9,            0.1,            7.8,            5.4, ,,,,
Idaho ,           41.1,           57.3,         4627.9,         1237.9,          364.4,          224.9,           67.3,           58.7,           39.9,           20.7,            0.3, ,,,
Illinois ,            1.7,           40.0,          103.1,           39.1,          125.3,            6.9,           20.7,           -1.1,            2.9,            3.1, ,,,,
Indiana ,           51.0,           44.0,           66.6,           54.8,           42.2,            4.3,            2.2,            2.0,            3.5,            0.3, ,,,,
Iowa ,           81.6,          176.9,          382.9,          160.8,           50.7,            0.8,           22.6,          146.4,           17.5,           20.5, ,,,,
Kansas ,          118.6,          501.9,          229.6,          540.0,          205.8,           22.2,           61.6,           20.6,           40.3,           30.9,            0.9,           45.2,            2.8, ,
Kentucky ,           56.8,           71.6,          163.8,          135.5,           29.2,            1.4,           39.6,           37.7,            0.4,            6.7, ,           5.3, ,,
Louisiana ,           25.0,           66.3,           71.2,           48.8,            1.0,            0.5,            0.5,            2.3,            3.2,            3.4,            0.1, ,,,
Maine ,           13.9,           15.7,           15.7,            0.0,            1.0,            0.2,            0.2,            0.1, ,,,,,,
Maryland ,            7.0,           26.8,           17.7, ,           4.7,            0.1,            0.2,            0.1,            0.9,            0.8, ,,,,
Massachusetts ,           13.5,           20.7,           14.9,            2.7,           43.3,            2.6,            4.4,           -0.8, ,,,,,,
Michigan ,           77.7,           93.4,           90.0,           20.2,           26.6,            1.8,            0.3,            0.2, ,,,,,,
Minnesota ,           47.0,           53.3,           14.8,           41.0,           63.6,           29.3,           13.3,            3.1,            9.2,            9.7, ,,,,
Mississippi ,           97.2,           57.3,          115.5,           32.5,           52.7,            5.1,            0.4,           16.0,            9.9,           -1.8,            1.4, ,,,
Missouri ,          141.5,          218.3,          244.3,          131.8,           54.1,            3.0,            0.8,           10.4,            0.2, ,,,,,
Montana ,          149.8,          176.2,          142.9,          155.6,          173.7,           82.4,           60.4,           73.0,           37.4,           10.6, ,,,,
Nebraska ,           79.6,           92.8,           94.6,           71.0,           22.5,            0.5,            2.2,            0.4,            4.7,            0.9,           -0.2, ,,,
Nevada ,            2.0,           16.4,           51.3,          165.2,          281.0,          133.1,           40.8,            5.2,            3.0,            3.1, ,,,,
New Hampshire ,           21.9,           13.3,           52.7,           16.2,            5.4,            0.1,            5.4,           -5.3, ,,,,,,
New Jersey ,           11.1,           10.8,           13.8,            8.5,           15.1,            0.1,            0.1,            1.0,           16.7,            1.0, ,,           1.3, ,
New Mexico ,          232.3,          216.7,          135.7,           83.1,           76.8,           11.3,            9.4,            0.2, ,          30.3,           -0.3, ,,,
