Year,Alabama ,Alaska ,Arizona ,Arkansas ,California ,Caribbean ,Colorado ,Connecticut ,Delaware ,Florida ,Georgia ,Hawaii/Pacific ,Idaho ,Illinois ,Indiana ,Iowa ,Kansas ,Kentucky ,Louisiana ,Maine ,Maryland ,Massachusetts ,Michigan ,Minnesota ,Mississippi ,Missouri ,Montana ,Nebraska ,Nevada ,New Hampshire ,New Jersey ,New Mexico ,New York ,North Carolina ,North Dakota ,Ohio ,Oklahoma ,Oregon ,Pennsylvania ,Rhode Island ,South Carolina ,South Dakota ,Tennessee ,Texas ,Utah ,Vermont ,Virginia ,Washington ,West Virginia ,Wisconsin ,Wyoming ,Other,Total
2009,38.5,9.7,54,8.1,136.6,11.4,109.6,21.7,4.2,144.6,23.2,6.8,41.1,1.7,51,81.6,118.6,56.8,25,13.9,7,13.5,77.7,47,97.2,141.5,149.8,79.6,2,21.9,11.1,232.3,33.5,26.9,78.7,69.9,152.5,46.7,56.9,4.7,25.5,137.2,83.8,333.5,35.3,16.4,53.9,69.8,32.9,67.2,67.2,44426.6,47657.8
2010,65.9,22.2,84.5,67.8,147.3,12.6,144.6,829.3,0.1,330,36.5,109.1,57.3,40,44,176.9,501.9,71.6,66.3,15.7,26.8,20.7,93.4,53.3,57.3,218.3,176.2,92.8,16.4,13.3,10.8,216.7,122.3,2.9,86,130.1,179,49.3,133,0.1,40.3,301.6,99.2,771,36.4,95.6,173.5,65,285.9,61.4,217.6,93438.7,100108.5
2011,76.4,8.1,55.9,64.9,154,0,167.9,147.6,12.4,537.1,68.7,117.5,4627.9,103.1,66.6,382.9,229.6,163.8,71.2,15.7,17.7,14.9,90,14.8,115.5,244.3,142.9,94.6,51.3,52.7,13.8,135.7,180.9,10.6,124,161.3,225,60.6,89,21.2,51.7,606.8,123,1460.3,228.3,23.4,196.8,58.8,80.4,88.8,1164.4,64930,77944.8
2012,98.4,7,49.5,111.3,286.2,0,88.4,118.4,12.2,121.8,0.8,177.5,1237.9,39.1,54.8,160.8,540,135.5,48.8,0,0,2.7,20.2,41,32.5,131.8,155.6,71,165.2,16.2,8.5,83.1,68.3,21.5,67.9,33,77.6,-174.3,65.4,27.7,44.4,325.4,38.6,1361.8,147.1,75.1,77.9,43.9,44.3,190.6,449.9,58261.9,65264.2
2013,49.8,33.1,19.5,62.4,95,0,85.5,45.4,17.6,110.5,4.2,113.2,364.4,125.3,42.2,50.7,205.8,29.2,1,1,4.7,43.3,26.6,63.6,52.7,54.1,173.7,22.5,281,5.4,15.1,76.8,24.4,21.2,9.1,12.2,114.7,73.7,83.5,44.8,346.1,170.5,79.1,799.5,268.4,15.8,68.4,68.2,52.8,104.6,424.7,57800.9,62857.9
2014,1,1.3,1.8,0.8,20.6,0.1,183.7,7.4,0.1,3.9,0.3,7.6,224.9,6.9,4.3,0.8,22.2,1.4,0.5,0.2,0.1,2.6,1.8,29.3,5.1,3,82.4,0.5,133.1,0.1,0.1,11.3,0.3,0.3,0.4,0.3,12.6,18.2,3,1.1,53.4,89.6,59.4,157.8,58.9,0.1,37.6,0.5,25.2,13.9,21,139.7,1452.5
2015,34.3,4.5,20.9,18,21.6,0.1,47.8,17.3,2.1,0.5,0.4,12.9,67.3,20.7,2.2,22.6,61.6,39.6,0.5,0.2,0.2,4.4,0.3,13.3,0.4,0.8,60.4,2.2,40.8,5.4,0.1,9.4,4.5,0.4,0.5,0.4,60.6,0.8,0.3,18.5,37.6,84.9,5,133.9,0.4,0.1,16.8,8.9,26.3,0.9,33.7,5983.4,6950.7
2016,24.2,1.7,27.8,2.8,7.2,0.1,45.6,6.1,0,2.9,0.1,0.1,58.7,-1.1,2,146.4,20.6,37.7,2.3,0.1,0.1,-0.8,0.2,3.1,16,10.4,73,0.4,5.2,-5.3,1,0.2,5.1,0.2,0.2,0.2,14.2,0.3,1.2,1,1.1,43.5,1,33.5,15.3,2.8,7.4,11.6,6.7,0.2,-10.7,1135,1758.6
2017,3.4,2.7,24.4,4.7,15,0,65,5.7,0,0,0,7.8,39.9,2.9,3.5,17.5,40.3,0.4,3.2,0,0.9,0,0,9.2,9.9,0.2,37.4,4.7,3,0,16.7,0,1.6,0,3.5,0,0,0,4.6,1.1,2.1,8,11.5,33.5,38,1,108.7,4.7,6.1,14.5,27.9,4369.9,4955.1
2018,1,2.9,25.2,4.4,17.8,0,23.6,3.3,0,0,6.2,5.4,20.7,3.1,0.3,20.5,30.9,6.7,3.4,0,0.8,0,0,9.7,-1.8,0,10.6,0.9,3.1,0,1,30.3,0,1.6,5.4,0,0,1.5,3.4,0.9,0,25.1,7.4,18.2,43.5,1.1,7.3,7.1,5.4,13.5,9.7,1080.8,1461.9
