state,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,38.5,65.9,76.4,98.4,49.8,1,34.3,24.2,3.4,1,0,0,0,0
Alaska,9.7,22.2,8.1,7,33.1,1.3,4.5,1.7,2.7,2.9,0,0,0,0
Arizona,54,84.5,55.9,49.5,19.5,1.8,20.9,27.8,24.4,25.2,0.1,0,0,0
Arkansas,8.1,67.8,64.9,111.3,62.4,0.8,18,2.8,4.7,4.4,0,0,0,0
California,136.6,147.3,154,286.2,95,20.6,21.6,7.2,15,17.8,0,0,0,0
Colorado,109.6,144.6,167.9,88.4,85.5,183.7,47.8,45.6,65,23.6,0.2,0,0,0
Connecticut,21.7,829.3,147.6,118.4,45.4,7.4,17.3,6.1,5.7,3.3,0,0,0,0
Delaware,4.2,0.1,12.4,12.2,17.6,0.1,2.1,0,0,0,0,0,0,0
Florida,144.6,330,537.1,121.8,110.5,3.9,0.5,2.9,0,0,0,0,0,0
Georgia,23.2,36.5,68.7,0.8,4.2,0.3,0.4,0.1,0,6.2,-4.3,0,0,0
Hawaii,6.8,109.1,117.5,177.5,113.2,7.6,12.9,0.1,7.8,5.4,0,0,0,0
Idaho,41.1,57.3,4627.9,1237.9,364.4,224.9,67.3,58.7,39.9,20.7,0.3,0,0,0
Illinois,1.7,40,103.1,39.1,125.3,6.9,20.7,-1.1,2.9,3.1,0,0,0,0
Indiana,51,44,66.6,54.8,42.2,4.3,2.2,2,3.5,0.3,0,0,0,0
Iowa,81.6,176.9,382.9,160.8,50.7,0.8,22.6,146.4,17.5,20.5,0,0,0,0
Kansas,118.6,501.9,229.6,540,205.8,22.2,61.6,20.6,40.3,30.9,0.9,45.2,2.8,0
Kentucky,56.8,71.6,163.8,135.5,29.2,1.4,39.6,37.7,0.4,6.7,0,5.3,0,0
Louisiana,25,66.3,71.2,48.8,1,0.5,0.5,2.3,3.2,3.4,0.1,0,0,0
Maine,13.9,15.7,15.7,0,1,0.2,0.2,0.1,0,0,0,0,0,0
Maryland,7,26.8,17.7, ,4.7,0.1,0.2,0.1,0.9,0.8,0,0,0,0
Massachusetts,13.5,20.7,14.9,2.7,43.3,2.6,4.4,-0.8,0,0,0,0,0,0
Michigan,77.7,93.4,90,20.2,26.6,1.8,0.3,0.2,0,0,0,0,0,0
Minnesota,47,53.3,14.8,41,63.6,29.3,13.3,3.1,9.2,9.7,0,0,0,0
Mississippi,97.2,57.3,115.5,32.5,52.7,5.1,0.4,16,9.9,-1.8,1.4,0,0,0
Missouri,141.5,218.3,244.3,131.8,54.1,3,0.8,10.4,0.2,0,0,0,0,0
Montana,149.8,176.2,142.9,155.6,173.7,82.4,60.4,73,37.4,10.6,0,0,0,0
Nebraska,79.6,92.8,94.6,71,22.5,0.5,2.2,0.4,4.7,0.9,-0.2,0,0,0
Nevada,2,16.4,51.3,165.2,281,133.1,40.8,5.2,3,3.1,0,0,0,0
New Hampshire,21.9,13.3,52.7,16.2,5.4,0.1,5.4,-5.3,0,0,0,0,0,0
New Jersey,11.1,10.8,13.8,8.5,15.1,0.1,0.1,1,16.7,1,0,0,1.3,0
New Mexico,232.3,216.7,135.7,83.1,76.8,11.3,9.4,0.2,0,30.3,-0.3,0,0,0
New York,33.5,122.3,180.9,68.3,24.4,0.3,4.5,5.1,1.6,0,0,0,0,0
North Carolina,26.9,2.9,10.6,21.5,21.2,0.3,0.4,0.2,0,1.6,0,0,0,0
North Dakota,78.7,86,124,67.9,9.1,0.4,0.5,0.2,3.5,5.4,0,0,0,0
Ohio,69.9,130.1,161.3,33,12.2,0.3,0.4,0.2,0,0,0,0,0,0
Oklahoma,152.5,179,225,77.6,114.7,12.6,60.6,14.2,0,0,0,0,0,0
Oregon,46.7,49.3,60.6,-174.3,73.7,18.2,0.8,0.3,0,1.5,0,0,0,0
Pennsylvania,56.9,133,89,65.4,83.5,3,0.3,1.2,4.6,3.4,174.2,7.1,69.9,0
Rhode Island,4.7,0.1,21.2,27.7,44.8,1.1,18.5,1,1.1,0.9,-0.2,0,0,0
South Carolina,25.5,40.3,51.7,44.4,346.1,53.4,37.6,1.1,2.1,0,0,0,0,0
South Dakota,137.2,301.6,606.8,325.4,170.5,89.6,84.9,43.5,8,25.1,0,0,0,0
Tennessee,83.8,99.2,123,38.6,79.1,59.4,5,1,11.5,7.4,3.3,0,0,0
Texas,333.5,771,1460.3,1361.8,799.5,157.8,133.9,33.5,33.5,18.2,-3.8,0,0,0
Utah,35.3,36.4,228.3,147.1,268.4,58.9,0.4,15.3,38,43.5,0,1.2,0,0
Vermont,16.4,95.6,23.4,75.1,15.8,0.1,0.1,2.8,1,1.1,0,0,0,0
Virginia,53.9,173.5,196.8,77.9,68.4,37.6,16.8,7.4,108.7,7.3,0,0,0,0
Washington,69.8,65,58.8,43.9,68.2,0.5,8.9,11.6,4.7,7.1,0,0,0,0
West Virginia,32.9,285.9,80.4,44.3,52.8,25.2,26.3,6.7,6.1,5.4,0,0,0,0
Wisconsin,67.2,61.4,88.8,190.6,104.6,13.9,0.9,0.2,14.5,13.5,0,0,0,0
Wyoming,67.2,217.6,1164.4,449.9,424.7,21,33.7,-10.7,27.9,9.7,25.7,1.5,0,0
