gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,iucn_category
415934347,5288946d-5fcf-4b53-8fd3-74f4cc6b53fc,NA,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha Bartram ex Marshall,NA,US,Gardens at 74 Knowlton Hill Road.,Connecticut,PRESENT,NA,1ef55060-54da-11dd-9d47-b8a03c50a862,41.83472,-72.20055,1,NA,NA,NA,NA,NA,8/27/01 0:00,27,8,2001,5421082,5421082,PRESERVED_SPECIMEN,UConn,CONN,CONN00057613,4226,NA,NA,CC_BY_4_0,NA,G.J. Anderson,NA,NA,4/24/23 10:05,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,EX
415927763,5288946d-5fcf-4b53-8fd3-74f4cc6b53fc,NA,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha Bartram ex Marshall,NA,US,Bartlett Arboretum,Connecticut,PRESENT,NA,1ef55060-54da-11dd-9d47-b8a03c50a862,41.13472,-73.55,20000,NA,NA,NA,NA,NA,10/15/79 0:00,15,10,1979,5421082,5421082,PRESERVED_SPECIMEN,UConn,CONN,CONN00051015,449,NA,NA,CC_BY_4_0,NA,T. Lockwood & L. Sadlon,NA,NA,4/24/23 10:05,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_NONE,EX
4075413480,0039bbb4-f753-40fd-8629-a4ed74fc5c6b,9026480e-517f-43b1-847e-ddeb8b43b475,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha,Bartram ex Marsh.,US,"Dover, Delaware State University, NW corner of Conrad Hall, across from Ag Annex",Delaware,PRESENT,NA,4eed95de-0189-4611-b7dd-39fb8be83277,39.185278,-75.545556,NA,NA,NA,NA,NA,NA,7/27/11 0:00,27,7,2011,5421082,5421082,PRESERVED_SPECIMEN,DOV,NA,DOV0038041,769,NA,NA,CC_BY_NC_4_0,NA,Susan E. Yost; Naomi Schramm,NA,NA,4/11/23 12:57,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,EX
4075413479,0039bbb4-f753-40fd-8629-a4ed74fc5c6b,fffbf297-1e61-4ade-afb7-7ba49d092d33,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha,Bartram ex Marsh.,US,"Dover, Delaware State University, NE of Baker Building, left of gate parking lot #6B",Delaware,PRESENT,NA,4eed95de-0189-4611-b7dd-39fb8be83277,39.186389,-75.545,NA,NA,NA,NA,NA,NA,10/31/13 0:00,31,10,2013,5421082,5421082,PRESERVED_SPECIMEN,DOV,NA,DOV0038040,862,NA,NA,CC_BY_NC_4_0,NA,Susan E. Yost; Lou Calabrese; Mike Radebach,NA,NA,4/11/23 12:57,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,EX
4074269693,c884e1d8-8cc4-444f-880c-db87a0f7fce1,befba847-e99f-4886-a073-ac466bf07b59,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha,Marshall,US,Location: O-5,Washington,PRESENT,NA,6567af74-d231-4588-a123-5d0b7a095fda,47.630064,-122.294582,NA,NA,NA,NA,NA,NA,10/16/84 0:00,16,10,1984,5421082,5421082,PRESERVED_SPECIMEN,UWB,Vascular,494,8,NA,NA,CC0_1_0,University of Washington Bothell,No Collector Name,NA,NA,4/10/23 1:17,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,EX
4073910933,8aa57fb1-a290-467f-a578-77ec8cbe76b6,9aa67d42-f5c9-469c-bf92-be02b615c9ef,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha,Marshall,US,U of Washington Arboretum. From a cultivated specimen in Georgia.,Washington,PRESENT,NA,6567af74-d231-4588-a123-5d0b7a095fda,47.637062,-122.294321,1180,NA,NA,NA,NA,NA,9/3/83 0:00,3,9,1983,5421082,5421082,PRESERVED_SPECIMEN,ID,Vascular,78042,1130,NA,NA,CC0_1_0,"Stillinger Herbarium, University of Idaho",A. F. Cholewa,NA,NA,4/8/23 21:07,NA,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH,EX
4061352834,e053ff53-c156-4e2e-b9b5-4462e9625424,urn:catalog:MO:Tropicos:103252145,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera rubropetala,NA,SPECIES,Mangifera rubropetala Kosterm.,Mangifera rubropetala Kosterm.,Kosterm.,US,"Naples Botanical Garden, Asian Garden and surrounding area.",Florida,PRESENT,2,90fd6680-349f-11d8-aa2d-b8a03c50a862,26.105833,-81.772778,NA,NA,3,NA,NA,NA,7/7/22 0:00,7,7,2022,3662194,3662194,PRESERVED_SPECIMEN,NA,Tropicos,103252145,Townesmith 4146,NA,NA,CC_BY_4_0,Missouri Botanical Garden,Andrew Townesmith;Natalie Konig,NA,NA,4/24/23 18:08,NA,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;INSTITUTION_MATCH_NONE,EX
4054765561,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149859298,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia remyi,hanaleiensis,VARIETY,Euphorbia remyi var. hanaleiensis Sherff,Euphorbia remyi hanaleiensis,NA,US,NA,Hawaii,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,21.809554,-159.412808,30338,NA,NA,NA,NA,NA,10/12/21 10:40,12,10,2021,3069281,3069272,HUMAN_OBSERVATION,iNaturalist,Observations,149859298,NA,Kenneth R. Wood (NTBG),2/27/23 22:47,CC_BY_NC_4_0,Kenneth R. Wood (NTBG),Kenneth R. Wood (NTBG),NA,NA,4/19/23 13:25,StillImage,COORDINATE_ROUNDED,EX
4038742063,040c5662-da76-4782-a48e-cdea1892d14c,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GRDMO116-21,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Deppea,Deppea splendens,NA,SPECIES,Deppea splendens Breedlove & Lorence,Deppea splendens,NA,US,NA,Missouri,PRESENT,NA,b3bf3a83-1f68-4541-a03f-330d30d567f5,38.6141,-90.2589,NA,NA,NA,NA,NA,NA,1/16/19 0:00,16,1,2019,2904964,2904964,MATERIAL_SAMPLE,NA,NA,MO:Carlsen3380b,NA,NA,NA,CC_BY_4_0,NA,"Carlsen, Monica",NA,NA,4/18/23 16:59,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,EX
4038719041,040c5662-da76-4782-a48e-cdea1892d14c,http://bins.boldsystems.org/index.php/Public_RecordView?processid=GRDMO115-21,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Deppea,Deppea splendens,NA,SPECIES,Deppea splendens Breedlove & Lorence,Deppea splendens,NA,US,NA,Missouri,PRESENT,NA,b3bf3a83-1f68-4541-a03f-330d30d567f5,38.6141,-90.2589,NA,NA,NA,NA,NA,NA,1/16/19 0:00,16,1,2019,2904964,2904964,MATERIAL_SAMPLE,NA,NA,MO:Carlsen3380,NA,NA,NA,CC_BY_4_0,NA,"Carlsen, Monica",NA,NA,4/18/23 16:59,NA,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES,EX
